,page,name,description,old_price,original_price,stars
78,5,"Bungalow in Kochi, India",Verdant Heritage Bungalow  (Entire Upper Floor),50.0,50.0,4.93
79,5,"Private room in Pathau, India",Glamping on Neer Waterfalls .,44.0,44.0,No Review
80,5,"Dome in Kamshet, India",Ethereal Dome w/ Private Plunge Pool & 3 Meals,59.0,59.0,4.89
81,5,"Farm stay in Bengaluru Urban, India",Luxury farmhouse in Bangalore,190.0,190.0,4.77
82,5,"Private room in Karnataka, India",Vanandhaara Coorg I Homestay | Pool Villa 1,89.0,89.0,4.92
83,5,"Private room in Gurugram, India",Reebah Inn & Suites - 3,16.0,16.0,4.62
84,5,"Apartment in Kolkata, India","Modern n Smart Studios, Apt-501 Near Airport n CC2",33.0,33.0,4.84
85,5,"Private room in Gangtok, India",Rustic walnut cottage - waterfall & mountain view,66.0,66.0,4.97
86,5,"Home in Banepa, Nepal",Entire house with all amenities and hill views,73.0,73.0,5.0
87,5,"Cottage in Habarana, Sri Lanka",Far Cry Kumbukkalli Forest Retreat,105.0,105.0,4.8
88,5,"Apartment in Islamabad, Pakistan",Flamingo Grand Apartments,77.0,85.0,5.0
89,5,"Private room in Mawlynnong, India",Roberts homestay Mawlynnong,18.0,18.0,4.7
90,6,"Private room in Sosan, India",Lost&Found Galactic Friends' House,13.0,13.0,4.82
91,6,"Apartment in Panaji, India",Lavish Sea View Apartment!!,129.0,129.0,4.82
92,6,"Earthen home in Auroville, India","Lotus Studio in Skandavan's garden, Edayanchavadi",39.0,39.0,4.81
